標題,分類,時間,網址,內文
對美中貿易談判抱持樂觀 歐股收高,證券,2019/11/06 02:29,https://www.cna.com.tw/news/afe/201911060006.aspx,（中央社倫敦5日綜合外電報導）受到對中國和美國貿易談判的樂觀情緒激勵，歐股今天收高。倫敦FTSE 100指數上揚0.3%，以7388.08點作收。法蘭克福DAX 30指數上揚0.1%，收在13148.50點。巴黎CAC 40指數上漲0.4%，收5846.89點。英國「金融時報」報導，川普政府官員正辯論是否撤銷部分現有對銷美中國貨品所加徵的關稅，作為雙方達成局部貿易協議的讓步，以便最快本月與中國簽署協議。金融時報引述5名參與相關討論的人士透露，白宮正考慮是否撤銷對1120億美元中國貨品的加徵關稅，涵蓋服裝、電器、平板螢幕顯示器。這部分的加徵關稅是今年9月15日實施，稅率15%。華府預料也將要求中方有所回報，包括加強保障美國企業的智慧財產權、將採購美國農產品的規模更明確化，以及在美國舉行簽署儀式。（譯者：陳政一）1081106
對美中貿易談判樂觀 美股道瓊指數再創新高,證券,2019/11/06 07:47,https://www.cna.com.tw/news/firstnews/201911060009.aspx,（中央社紐約5日綜合外電報導）由於市場對美中貿易談判感到樂觀，美股道瓊指數昨天繼標普500與那斯達克指數衝上歷史新高後，今天再創新高。道瓊工業指數上揚30.52點或0.11%，以27492.63點作收。標準普爾指數小跌3.65點或0.12%，收在3074.62點。科技股那斯達克指數小漲1.48點或0.02%，收8434.68點。（譯者：陳政一）1081106
對美中貿易談判樂觀 國際油價上揚超過1%,產經,2019/11/06 07:31,https://www.cna.com.tw/news/afe/201911060010.aspx,（中央社紐約5日綜合外電報導）由於市場對美中貿易談判感到樂觀，使原油需求展望改善，國際油價今天上揚超過1%。紐約商品交易所西德州中級原油12月交割價攀升69美分，來到每桶57.23美元。倫敦北海布倫特原油明年1月交割價上漲83美分，來到每桶62.96美元。（譯者：陳政一）1081106
美股道瓊指數再創新高  台股有望續揚,證券,2019/11/06 12:21,https://www.cna.com.tw/news/afe/201911060012.aspx,（中央社記者張建中台北6日電）美股道瓊工業指數再創歷史新高，法人認為，台股市場氣氛樂觀，指數有機會延續揚升走勢，續創波段新高。由於市場對美中貿易談判感到樂觀，道瓊工業指數漲30.52點，漲幅0.11%，收在27492.63點；標準普爾500指數跌3.65點，跌幅0.12%；那斯達克指數漲1.48點，漲幅0.02%。國內外產業訊息方面，鴻海10月合併營收新台幣5958.82億元，月增1.38%，年增1.04%，為歷年同期新高。股王大立光10月營收66.26億元，較9月的65.96億元小增約3000萬元，連續3個月創歷史新高，年增27%。中華精測第3季稅後淨利2.47億元，季增110.4%，刷新歷史新高，每股純益7.55元。台塑四寶10月總營收1172.48億元，月增4%，年減22.6%，為今年第3低，第4季營運展望保守，預期還沒走出石化業谷底。（編輯：黃國倫）1081106
半導體業擁抱EUV技術  資本支出直線攀升,產經,2019/11/06 08:08,https://www.cna.com.tw/news/afe/201911060015.aspx,（中央社記者尹俊傑紐約5日專電）台積電、英特爾和三星為打造體積更小、效能更強的處理器，紛紛導入極紫外光（EUV）技術，相關設備所費不貲，3家大廠資本支出直線攀升，艾司摩爾等設備廠則成為受益者。華爾街日報報導，晶圓代工大廠以最新製程挑戰物理極限，需要EUV微影技術當幫手。與常用光源相比，採用EUV的系統能讓晶片電路更加微縮，但先進晶圓廠建造成本也跟著水漲船高，台積電兩年前宣布的新廠建造費用達200億美元。關鍵在於EUV光刻器具價格高昂。艾司摩爾（ASML）公布，第3季光售出7套EUV系統就進帳7.43億歐元，等於每套系統要價超過1億歐元（約新台幣33.68億元）。這還不含半導體製程控管與測試設備成本。台積電深耕晶圓代工先進製程，10月表示強效版7奈米製程導入EUV技術，今年第2季開始量產，良率已相當接近7奈米製程；6奈米製程預計明年第1季試產，並於明年底前進入量產。與此同時，晶圓代工龍頭廠商資本支出大增成為趨勢。台積電10月宣布今年資本支出達140億至150億美元，高於原先設定目標近40%。英特爾（Intel）隨後宣布加碼3%，今年資本支出目標達160億美元，創公司成立以來新高，比兩年前高出36%。三星（Samsung）上週宣布，今年半導體事業資本支出約200億美元。三星公布的金額略少於去年，但業界分析師預期，三星今年大幅減少投資記憶體生產，以便將更多資源投入次世代晶圓代工廠。在EUV技術帶動下，半導體設備廠獲益良多。艾司摩爾第3季接獲23套EUV系統訂單，創單季訂單金額新高；半導體製程控管設備製造商科磊（KLA-Tencor）上週公布，會計年度第1季營收年增率達29%，並表示EUV投資是業績成長主要動能。今年以來，艾司摩爾與科磊股價漲幅分別達76%、94%。報導指出，明年EUV需求預料更加旺盛，半導體設備廠前景一片光明。（編輯：馮昭）1081106
台股開盤漲1.05點,證券,2019/11/06 09:03,https://www.cna.com.tw/news/afe/201911060021.aspx,（中央社台北6日電）台北股市今天開盤漲1.05點，加權股價指數為11645.08點，成交金額新台幣30.01億元。1081106
新台幣開盤貶2.9分 為30.40元,產經,2019/11/06 09:04,https://www.cna.com.tw/news/afe/201911060022.aspx,（中央社台北6日電）台北外匯市場新台幣兌美元匯率今天以30.40元開盤，貶2.9分。新台幣兌美元開盤交易區間為30.40元至30.415元。1081106
第4季業績衝高可期 鴻海續創近7個月高點,證券,2019/11/06 09:32,https://www.cna.com.tw/news/afe/201911060025.aspx,（中央社記者鍾榮峰台北6日電）鴻海今天早盤走勢堅挺，最高來到90.9元，漲1%，續創今年4月中旬來高點。鴻海10月營收創同期新高，估第4季業績可衝歷史新高。鴻海自結10月合併營收新台幣5958.82億元，較9月微增1.38%，比去年同期成長1.04%。法人指出，鴻海10月營收創歷史同期新高。累計今年前10月鴻海自結合併營收4兆1973.72億元，較去年同期成長2.99%。法人表示，鴻海前10月營收也創歷史同期新高。鴻海今天早盤高點市值攻上新台幣1.26兆元，從10月迄今截至今天早盤高點，鴻海漲幅超過2成，來到24.18%，期間市值大增2453億元。外資法人力挺是推升鴻海股價大漲的主力，11月5日外資法人買超鴻海達5萬3257張，從10月14日到11月5日，累計外資已經連續17個交易日買超鴻海累計達38萬3726張，累計整個10月外資法人買超鴻海達23萬1861張。鴻海規劃於13日舉辦法人說明會，屆時大股東鴻海創辦人郭台銘動向、主要大客戶蘋果iPhone新機拉貨力道、明年上半年營運展望、鴻海布局5G進展等，將是法人關注焦點。展望今年第4季，法人指出鴻海業績可望持續受惠旺季季節性拉貨力道，蘋果新款iPhone 11全機種系列出貨看佳，可望帶動鴻海在中國大陸鄭州和深圳兩大廠區出貨表現，預估第4季將是今年營運高峰，業績有機會續創新高。（編輯：黃國倫）1081106
台積電第4季資本支出估創新高 三星同登峰,產經,2019/11/06 09:45,https://www.cna.com.tw/news/afe/201911060028.aspx,（中央社記者張建中新竹6日電）研調機構IC Insights預估，台積電第4季資本支出將達51.47億美元，將刷新歷史新高紀錄，三星（Samsung）第4季資本支出也將達79億美元，將同創歷史新高。半導體廠資本支出大者恆大趨勢成形，IC Insights預估，今年資本支出前5大半導體廠包括三星、英特爾（Intel）、台積電、SK海力士（Hynix）及美光（Micron），占整體半導體廠資本支出比重將攀升至68%，將創歷史新高。其中，台積電7奈米製程客戶需求強勁，第4季7奈米營收比重將達33%規模，IC Insights預期，台積電第4季資本支出將達51.47億美元，將較第3季大增64%，主要用於增加7奈米及5奈米製程產能。IC Insights預估，三星第4季資本支出將達79億美元，將較第3季增加81%，並將較2017年第4季創下的68.77億美元前波高點高出約15%，主要用於建立記憶體基礎架構，以滿足中長期需求。三星今年資本支出將約199億美元，將較去年減少約8%，IC Insights表示，三星2017年至2019年資本支出合計將達658億美元，仍將較英特爾同時期資本支出高出約53%，並是中國本土半導體供應商同時期總資本支出的2倍以上，可見三星積極力保領先地位。（編輯：趙蔚蘭）1081106
貿易戰餘波盪漾 德微保守看明年首季,證券,2019/11/06 10:04,https://www.cna.com.tw/news/afe/201911060033.aspx,（中央社記者江明晏台北6日電）德微科技第3季因產品組合影響毛利，每股賺0.68元，累計前3季EPS 1.77元；德微預估美中貿易戰仍使下游客戶拉貨趨於保守，將影響至明年第1季，但仍看好5G世代推升營運成長。德微科技第3季合併營收4.08億元，稅後淨利約3000萬元，每股稅後盈餘（EPS）0.68元，累計前3季EPS則為1.77元。第3季毛利率19.86%，季減1.88個百分點，主要在於產品銷售組合影響第3季毛利表現。德微10月合併營收1.37億元，較去年同期減少1.15%，累計前10月合併營收達12.86億元，則年增2.88%。德微指出，今年以來全球電子業受到美中貿易戰影響，公司合併營收表現雖仍維持與去年同期相當，但在市場信心不足下，影響高階產品訂單進度，在產品銷售組合不利毛利表現下，導致德微第3季整體表現略低於預期，預估明年第1季景氣仍趨於保守。展望未來，德微指出，美中貿易戰使全球電子產業市況不明，下游客戶拉貨趨於保守，預計影響至明年第1季，然而隨著5G世代來臨，各終端裝置內需要更高階安全的二極體，以因應瞬間強大電流，德微以高標準研發設計，有助於5G裝置爆發期推升營運成長。（編輯：趙蔚蘭）1081106
