標題,分類,時間,網址,內文
歐美股市反彈  道瓊指數午盤勁揚400點,產經,2018/08/17 00:48,https://www.cna.com.tw/news/afe/201808170006.aspx,（中央社倫敦16日綜合外電報導）歐洲和美國股市今天都出現反彈，美股道瓊指數午盤勁揚400點，主因傳出美中兩國將再舉行貿易會談的消息，而卡達表示願意在土耳其投資150億美元後，土國貨幣里拉也止跌回升。倫敦股市金融時報百種股價指數（FTSE 100）上漲0.8%，收在7556.38點。法蘭克福股市DAX 30指數上漲0.6%，收在12237.17點；巴黎股市CAC 40指數上漲0.8%，收在5349.02點。紐約股市午盤道瓊工業指數大漲403.16點，或1.58%，來到25565.57點。標準普爾500指數上漲28.32點，或1.00%，來到2846.69點；那斯達克指數上漲65.87點，或0.85%，來到7839.99點。（譯者：林治平）1070817
美中8月底重開貿易磋商  層級低料難有突破,產經,2018/08/17 04:12,https://www.cna.com.tw/news/afe/201808170009.aspx,（中央社北京16日綜合外電報導）中國和美國政府今天表示，雙方本月底將舉行較低層級的貿易磋商，令外界對美中可能化解不斷升高的關稅戰抱以希望。但因談判代表層級較低，分析家認為不太可能有重大突破。路透社報導，儘管傳出重開會談消息，白宮經濟顧問柯德洛（Larry Kudlow）警告北京，不要低估美國總統川普推動改變中國經濟政策的決心。中國商務部在網站發布聲明說，商務部副部長王受文將率團赴美，與美國財政部次長馬爾帕斯（David Malpass）領導的美方代表團會談。「華爾街日報」（Wall Street Journal）報導，華盛頓這項會談將在21至22日舉行，就在美國再對價值160億美元中國產品加徵關稅的措施於23日生效之前。北京也將對等值美國產品課徵報復性關稅。分析家和商務官員雖然認為這項接觸是正面發展，他們也警告，這次會談不太可能獲致突破，因為與會的是層級較低官員，而且美方不是由貿易代表署（USTR）出馬。自3月下旬中美貿易對峙以來，雙方至今共進行了3輪磋商，時間集中在5、6兩月。若王受文順利成行，除是中美第4輪的貿易談判，也是繼6月上旬在北京的磋商後，雙方停滯兩個多月後的再次接觸。值得注意的是，就目前資料來看，第4輪貿易磋商是雙方代表官員層級最低的一次。華中科技大學經濟學院國際經濟與貿易系教授陳波認為，比較貼切的看法是將此視為雙方公開恢復接觸的起點，後面要走的路還很長。（譯者：林治平）1070817
美中將重開貿易磋商  華爾街股市勁揚,產經,2018/08/17 05:34,https://www.cna.com.tw/news/afe/201808170011.aspx,（中央社紐約16日綜合外電報導）美國股市今天勁揚，道瓊指數終場大漲將近400點，主因傳出美中兩國將再舉行貿易會談的消息，此外卡達表示願意在土耳其投資150億美元後，土國貨幣里拉也止跌回升。道瓊工業指數終場上漲396.32點，或1.58%，收在25558.73點。標準普爾500指數上漲22.32點，或0.79%，收在2840.69點；那斯達克指數上漲32.41點，或0.42%，收在7806.52點。（譯者：林治平）1070817
世界油價小漲,產經,2018/08/17 05:24,https://www.cna.com.tw/news/afe/201808170012.aspx,（中央社紐約16日綜合外電報導）世界兩大經濟體中國和美國月底將再舉行貿易磋商，緊張情勢似乎有緩和跡象，激勵世界油價今天小幅走高。在紐約商品交易所，美國市場基準商品西德州中級原油期貨價格上漲45美分，收在每桶65.46美元。倫敦市場北海布倫特原油期貨價格上漲67美分，收在71.43美元。（譯者：林治平）1070817
美股強力反彈 台股可望受激勵,證券,2018/08/17 08:29,https://www.cna.com.tw/news/afe/201808170026.aspx,（中央社記者潘智義台北17日電）美股道瓊工業指數大漲396.32點，台股前一交易日開低走高，收盤跌勢收斂，今天是否隨美股反彈受到關切，但法人指出，即便反彈，也不宜過度追高。台北股市前一交易日收在10683.90點，下跌32.85點，成交值新台幣1391.31億元。三大法人外資及陸資、投信買超，自營商賣超，合計賣超2.21億元。法人表示，台股跌破1萬1千點後，進行震盪整理，由於半年報公布告一段落，不確定因素減少，台股走勢將漸趨明朗。雖然資金自漲價題材電子股流出，但股價整理之後，仍需留意未來產業的景氣變化，以及籌碼面變化。美國股市勁揚，主因美中兩國將再舉行貿易會談，此外卡達表示將在土耳其投資150億美元後，土國里拉止跌回升。法人認為，國際情勢仍是影響台股的重要因素。國內環境部分，勞動部召開基本工資審議委員會，會後決議月薪從現行新台幣2萬2000元，調至2萬3100元，漲幅5%；時薪部分則由現行140元調升至150元，仍需提報行政院決定。（編輯：鄭雪文）1070817
台股開盤漲18.70點,證券,2018/08/17 09:02,https://www.cna.com.tw/news/afe/201808170030.aspx,（中央社台北17日電）台北股市今天開盤漲18.70點，加權股價指數為10702.60點，成交金額新台幣22.92億元。1070817
新台幣開盤升2.5分 為30.820元,產經,2018/08/17 09:03,https://www.cna.com.tw/news/afe/201808170031.aspx,（中央社台北17日電）台北外匯市場新台幣兌美元匯率今天以30.820元開盤，升2.5分。1070817
新台幣走升 早盤升破30.8元,產經,2018/08/17 09:55,https://www.cna.com.tw/news/afe/201808170039.aspx,（中央社台北17日電）台北外匯市場新台幣兌美元匯率今天以30.820元開盤，升2.5分；9時45分來到30.771元，升7.4分。截至9時55分，新台幣兌美元最高30.761元、最低30.820元。1070817
85度C議題波及 美食-KY市值蒸發逾70億,證券,2018/08/17 10:25,https://www.cna.com.tw/news/firstnews/201808170042.aspx,（中央社記者江明晏台北17日電）美食-KY旗下85度C遭兩岸敏感政治議題波及，市場憂陸抵制情緒擴大，加上85度C台灣官網昨天遭惡意攻擊，美食-KY股價連日下挫，今早盤跌幅近5%，3天市值蒸發逾新台幣70億元。由於總統蔡英文過境美國洛杉磯期間，順道拜訪當地85度C門市，相關照片曝光後，引起中國大陸網民大肆攻擊85度C，揚言抵制，更陸續傳出門市被要求整改、產品資訊被中國部分購物及美食平台下架等狀況，打壓動作不斷。85度C台灣官網昨天又傳出遭惡意攻擊，被植入多張總統蔡英文的照片，網站隨即關閉進行臨時性維護，約下午5時左右恢復正常。中國官網則未受影響。相關效應餘波盪漾，85度C發言窗口至今僅回應「企業也有責任要照顧好員工的壓力」，並「希望兩岸和平發展讓商人可以努力拚經濟」2點聲明，其餘一概未回應。美食-KY股價連番下跌，從8月15日以來連日下跌，今天跌幅收斂，但早盤仍有近5%的跌勢，低點下探241元，和8月14日收盤價282元相比，已下跌約40元，等同3天市值蒸發超過70億元，也讓美食-KY觀光股王光環失色，股價已和緊追在後的瓦城拉近距離。（編輯：蘇志宗）1070817
捐血做公益  房仲全台總動員,產經,2018/08/17 10:33,https://www.cna.com.tw/news/afe/201808170051.aspx,（中央社記者韋樞台北17日電）全國不動產仲介公會全聯會決定19日在桃園中壢舉行千人房仲公益日誓師大會，各縣市房仲公會從週末到20日同步辦捐血活動，全國以7000袋為目標，協助度過每年7到9月最缺血的難關。中華民國不動產仲介經紀公會全聯會將每年8月20日訂為「房仲公益日」，在當天號召全國房仲業者舉辦公益活動，今年連續第4年舉辦「房仲傳愛、熱血常在」捐血活動，共同為社會盡一份心力。房仲全聯會理事長林正雄表示，今年的「房仲傳愛熱血常在」千人誓師活動訂19日上午11時在中壢SOGO銀河廣場前舉行，在當天號召所有的房仲人員一起捐血做公益。林正雄說，統計顯示，全台每天平均要用到5000至6000袋血液，如果遇到颱風，各地捐血中心的血庫存量甚至曾一口氣減少3、4天用量，為解決夏季血荒問題，今年房仲公益日再度邀集全國房仲業者，共同響應「捐血一袋、救人一命」的公益活動。全聯會統計，2015年「房仲公益日」首創全國19個縣市房仲公會同步捐血活動，共捐血3526袋，總計達88萬CC，2016年更創台灣捐血史以來同一單位單日4979袋紀錄，總計高達124萬CC，今年房仲公會號召更多全國房仲從業人員及家人朋友，目標要突破7000袋，將更多的愛傳出去，期盼幫助更多需要幫助的人。全聯會表示，各縣市房仲公會舉辦捐血活動的日期不一，但大致是在週末到20日共三天，歡迎民眾洽各地房仲公會查詢捐血日、地點與時間，一起挽起衣袖熱情響應捐血活動。（編輯：鄭雪文）1070817
