標題,分類,時間,網址,內文
零售類股領跌 歐股收黑,證券,2018/12/18 02:47,https://www.cna.com.tw/news/afe/201812180005.aspx,（中央社倫敦17日綜合外電報導）英國時尚電商巨擘ASOS傳出獲利警訊，歐洲零售類股應聲重挫，因為投資人擔心，今年的耶誕購物旺季恐怕買氣不振。歐洲3大股市在本週第一個交易日同步收黑。倫敦FTSE 100指數跌71.93點或1.05%，以6773.24點作收。巴黎CAC 40指數跌53.83點或1.11%，收在4799.87點。法蘭克福DAX 30指數跌93.57點或0.86%，來到10772.20點。（譯者：陳宜君）1071218
醫療與保險股重挫 拖累華爾街午盤大跌,證券,2018/12/18 04:42,https://www.cna.com.tw/news/afe/201812180008.aspx,（中央社紐約17日綜合外電報導）德州聯邦法官裁決歐巴馬健保（Obamacare）違憲後，健康保險和醫療類股今天應聲重挫，美股3大指數午盤過後同步大跌，其中道瓊工業指數跌逾500點。截至美東時間17日下午3時20分（台北時間18日凌晨4時20分）止，道瓊工業指數跌538.65點或2.24%，來到2萬3561.86點。那斯達克指數跌176.43點或2.55%，報6734.23點。標準普爾500指數跌45.02點或1.73%，成為2554.93點。（譯者：陳宜君）1071218
美股難擋升息憂慮 3大指數重挫逾2%,證券,2018/12/18 09:45,https://www.cna.com.tw/news/firstnews/201812180009.aspx,（中央社記者尹俊傑紐約17日專電）全球經濟降溫之際，美國聯準會本週預計再度升息，衝擊投資人信心，導致美股持續不振，道瓊工業指數今天重挫507點，近兩個交易日狂瀉千點，標普500指數則創14個月新低。近幾個月來，美中貿易摩擦、全球經濟成長趨緩、地緣政治情勢緊繃引發的憂慮不斷升溫，部分投資人擔心，18至19日集會的聯邦準備理事會（Fed）若宣布今年第4次升息，恐令經濟難以承受。道瓊指數14日在憂慮氣氛中重挫496點，週線收黑。美股今天持續低迷，道瓊指數一度大跌逾600點，終場下跌507.53點，跌幅2.11%，收在23592.98點，30檔成分股全部收黑。標準普爾500指數下挫2.08%，收在2545.94點，創去年10月以來最低收盤水準，11大類股無一上漲。雙線資本公司（DoubleLine Capital）執行長岡拉克（Jeffrey Gundlach）接受財經媒體CNBC專訪時斷言，美股已步入熊市，標普500指數將摜破今年初所創低點，這番空頭言論導致美股盤中進一步下探。以科技股為主的那斯達克綜合指數重挫2.27%，收在6753.73點，年線由紅翻黑，年初以來跌幅達2.2%。在類股表現方面，近期受投資人青睞的地產與公用事業等防禦型股票不再抗跌，今天跌幅都超過3%，表現排在後段班。非必需消費類股也表現疲軟，百思買（Best Buy）與亞馬遜（Amazon.com）股價跌幅都超過4%。德州一名聯邦法官14日判決平價醫療法（Affordable Care Act）違憲，導致醫療類股今天賣壓沉重，聯合健康集團（UnitedHealth Group）股價重挫2.6%。嬌生（Johnson & Johnson）受爽身粉含致癌物質石棉醜聞衝擊，14日股價狂瀉10%，市值蒸發398億美元，今天股價表現仍無起色，再跌2.9%。美股近期表現疲弱，投資人連忙撤出資金，小型股首當其衝。追蹤小型股的羅素2000指數今天下挫2.32%，8月31日登上高點後已回檔20%，符合傳統技術分析定義的熊市，2016年4月展開的牛市劃下休止符。華爾街日報報導，聯準會持續升息，對負債比例偏高的小型企業構成格外嚴峻的挑戰，因為利率走揚，代表小型企業背負的貸款利率也將攀升。美國總統川普今天在推特發文，以諷刺口吻指聯準會決策官員考慮再次升息「棒透了」，持續對聯準會表達不滿。聯準會主席鮑爾（Jerome Powell）11月表示，當前利率「略低於」不刺激也不拖慢經濟成長的中性水準，暗示明年升息步調可能放慢。美股第4季由盛轉衰，3大指數已從前波高點回檔逾10%，近3年來首次同時陷入技術修正區。那斯達克綜合指數已從8月所創高點拉回17%，標普500指數與道瓊指數分別從前波高點回檔13%、12%。隨著投資人信心潰散，素有「恐慌指數」之稱的芝加哥選擇權交易所（CBOE）波動率指數（VIX）今天一度衝破25關卡，創近兩個月來新高。（編輯：施燕飛）1071218
油價收跌 西德州中級原油創14月低點,產經,2018/12/18 07:10,https://www.cna.com.tw/news/afe/201812180010.aspx,（中央社紐約17日綜合外電報導）投資人擔心全球經濟趨緩可能衝擊原油需求，加上美國出現供應過剩跡象，油價今天應聲下滑，其中西德州中級原油跌破每桶50美元大關，為2017年10月來首見。紐約商品交易所西德州中級原油下跌2.6%，以每桶49.88美元作收。倫敦北海布倫特原油下跌1.1 %，收在每桶59.61美元。（譯者：陳宜君）1071218
面對國際競爭 巴西航空工業與波音合作,產經,2018/12/18 08:11,https://www.cna.com.tw/news/afe/201812180012.aspx,（中央社記者唐雅陵聖保羅17日專電）面對國際競爭，巴西航空工業公司今天宣布，董事會已同意將商業航空領域與美國波音公司合作，形成戰略夥伴關係，但這項協議仍需經股東、巴西政府和管理部門批准。新當選巴西副總統的莫勞將軍（Hamilton Mourao）表示，巴西航空工業公司與波音公司今天宣布的協議，對巴西來說非常好，對巴西航空工業公司面對國際競爭也至關重要。莫勞指出，巴西航空工業公司的競爭對手龐巴迪（Bombardier）加入空中巴士（Airbus）後，巴西航空工業公司亟需要尋找新的合作夥伴來面對國際競爭；波索納洛（Jair Bolsonaro）政府對這一合作戰略夥伴關係協議持贊成態度。根據擬議的夥伴關係，巴西航空工業公司（Embraer）與波音公司（Boeing）組成的合資公司（joint venture）價值52.6億美元，波音將持有80%的股份。合資公司應每年產生約1.5億美元的協同效應，直至營運第3年。交易完成後，這家商業航空合資企業將由總部設在巴西的高階團隊領導，包括一名總裁兼首席執行官。波音公司將擁有新公司的營運和管理控制權，巴西航空工業公司將對巴西的一些重大業務擁有決策權。巴西航空工業公司總裁兼首席執行官席瓦（Paulo Cesar de Souza e Silva）在聲明中表示，這種合作關係將對巴西和整個巴西航空航太工業產生巨大價值。巴西航空工業公司與波音公司還達成第2個合資企業的協定，以促進和發展kc-390多功能飛機的新市場。根據擬議中的合作關係，巴西航空工業公司將持有合資公司51%的股份，波音公司49%。這項交易也須經股東、巴西政府和管理部門批准。如果在預期時間內獲得批准，巴西航空工業公司預期協商將在2019年底前完成。（編輯：屈享平）1071218
美股道瓊重挫507點 法人：台股短線震盪觀望,證券,2018/12/18 08:16,https://www.cna.com.tw/news/afe/201812180013.aspx,（中央社記者鍾榮峰台北18日電）美股道瓊指數重挫507點，台股17日量能創近1個月以來新低。法人表示，外資將放長假，參與台股積極度降低，短線震盪觀望，交投相對清淡，在9500點到9600點有撐。美股重挫，那斯達克指數跌156.93點或2.27%，以6753.73點作收，跌破2017年封關時水準。道瓊工業指數終場跌507.53點或2.11%，收在23592.98點，不但連續兩個交易日重挫逾500點，也創下本月第4大跌點。標準普爾500指數跌54.01點或2.08%，成為2545.94點。台股加權股價指數17日上漲13.37點，漲幅0.14%，收在9787.53點，成交值新台幣779.35億元，量能創近1個月以來新低。三大法人外資及陸資、投信和自營商同步賣超，合計賣超22.41億元。法人指出，台股日KD技術指標似有開口向上的跡象，短線在9500點到9600點有支撐，不過，年底長假在即，外資將放長假，參與台股積極度降低，短線台股震盪觀望，交投相對清淡。根據台灣證券交易所統計，外資上週在集中市場賣超新台幣198.63億元。投信業者表示，本週市場關注焦點在於美國聯邦準備理事會（Fed）是否升息。裕隆董事會17日決議將現金增資子公司納智捷（Luxgen）新台幣60億元，這筆資金將讓納智捷用來向華創車電購買技術資產。中鋼11月獲利僅27.78億元，月減22%，前11月累計近300億元，年增50%，每股稅前盈餘1.9元。凱美17日透過兩筆交易，取得同欣電共計約8.05%股權，正值同欣電董座轉讓持股，引發外界關注。法人指出，這代表國巨集團積極布局通訊領域。（編輯：楊玫寧）1071218
航運業農曆年雙效應 1月小旺季可期,產經,2018/12/18 08:37,https://www.cna.com.tw/news/afe/201812180016.aspx,（中央社記者韋樞台北18日電）歷經9月到11月中國出口商出貨美國以避開貿易戰高關稅後，12月航運業呈淡季；但美國延後課徵中國輸美商品高關稅後，再加上華人農曆年，航運業開始準備喜迎1月的小旺季。原本明年元旦美國打算課徵從中國出口美國約2000億美元商品25%的關稅，因此從今年9月到11月，中國出口商趕著大量出貨美國，不論海運和空運的艙位都非常滿，且貨櫃運費一路高漲。物流攬貨業台驊投控總經理萬心寧表示，中國出口商急著出貨美國，美國西岸的倉儲全數塞滿，甚至還滿到往加州內陸的倉儲，以致美國當地的終端庫存量非常高。萬心寧指出，11月下旬起至今，歐美購物旺季的出貨已過，客戶不再備庫存，因此正值航運、物流、攬貨業的淡季，運價指數也下滑，估計到了1月起，航運物流等才會又開始活絡，趕著華人農曆年前的出貨。美國日前宣布延後課徵中國出口美國2000億美元商品到3月2日起徵。萬心寧認為，華人農曆年至少放假8天到10天，而農曆年後又沒那麼快上線正式生產，在擔心農曆年間美中貿易戰的新變數及年假後3月2日快屆滿，中國出口商寧可選擇1月儘快出口美國，造成原本農曆年前的小旺季更旺。她強調，以航運界來看，從東亞到美西的貨櫃船和空運的運費將會走揚；至於散裝航運的運費將視中國進口多少美國的大宗物資和原物料等，若中國宣布進口更多美國黃豆等，將帶領散裝航運指數上揚；至於歐洲航線第1季仍為淡季，相關貨櫃船也可望抽離後支援東亞到美國的貨載。（編輯：楊凱翔）1071218
逢低加碼 11月投信基金規模增加3%,證券,2018/12/18 08:50,https://www.cna.com.tw/news/afe/201812180018.aspx,（中央社記者田裕斌台北18日電）11月全球股市上沖下洗，國內基金投資人延續逢低加碼策略，根據統計，帶動投信基金規模較10月增加新台幣758億元，達2兆5754億元。根據投信投顧公會資料統計，11月投信整體基金規模2兆5754億元，較10月增長758億元，增幅3.03%；若按類型區分，呈現「股增債減」，資金大舉流向股票型基金，債券型基金規模微幅減少。其中，11月規模增加最多的是跨國指數股票型、國內指數股票型與國內股票型基金，分別增加599億元、94億元、90億元，跨國股票型基金揮別連續3個月的縮減後，再度出現資金回流情形，規模增加36億元，反觀高收益債券型、一般債券型與跨國債券組合型基金，各減37億元、19億元、17億元。第一金全球AI人工智慧基金經理人陳世杰表示，11月全球金融市場波動度仍大，股市更呈現上沖下洗，但基金規模不僅延續10月的增長態勢，而且增幅擴大，反映投資人逢低加碼的情形不少，尤其是股票型基金規模明顯增加，顯示投資人對後市不悲觀。陳世杰指出，明年經濟成長或許較今年微弱、企業獲利成長略減，不過主要國家的金融桿槓倍數低、企業帳上現金多，最大消費市場美國則是薪資成長、失業率低、家戶淨資產達歷史新高，整體而言，沒有債務或本夢比的泡沫危機，股價合理修正後，反而有利市場長期表現。（編輯：林沂鋒）1071218
台股開盤跌31.07點,證券,2018/12/18 09:03,https://www.cna.com.tw/news/afe/201812180019.aspx,（中央社台北18日電）台北股市今天開盤跌31.07點，加權股價指數為9756.46點，成交金額新台幣18.23億元。1071218
新台幣開盤升1分 為30.860元,產經,2018/12/18 09:04,https://www.cna.com.tw/news/afe/201812180020.aspx,（中央社台北18日電）台北外匯市場新台幣兌美元匯率今天以30.860元開盤，升1分。新台幣兌美元開盤交易區間為30.860元至30.869元。1071218
